name,price,categoryId,image
Laptop Dell XPS 15,1299.99,1,
MacBook Pro 16,2499.99,1,
iPhone 14 Pro,999.99,1,
Samsung Galaxy S23,899.99,1,
Wireless Mouse,29.99,1,
Mechanical Keyboard,149.99,1,
USB-C Hub,49.99,1,
Monitor 27 inch,399.99,1,
Webcam HD,79.99,1,
Headphones Noise Cancelling,299.99,1,
Office Chair Ergonomic,349.99,2,
Standing Desk,599.99,2,
Desk Lamp LED,39.99,2,
Notebook A4,4.99,2,
Pen Set,12.99,2,
Water Bottle,19.99,3,
Coffee Mug,9.99,3,
Lunch Box,24.99,3,
Backpack Laptop,79.99,3,
Phone Case,14.99,1,
